Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
849.869,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,lateral display,,,STOP
849.952,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,head-down,,,START
851.202,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,head-down,,,STOP
851.367,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,lateral display,,,STOP
868.955,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,frontal,,,START
871.452,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,lateral display,,,START
874.505,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,frontal,,,STOP
875.705,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,lateral display,,,START
877.452,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,lateral display,,,STOP
877.704,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,lateral display,,,STOP
900.036,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,frontal,,,START
901.786,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,frontal,,,STOP
902.286,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,lateral display,,,START
903.034,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,head-down,,,START
904.039,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,lateral display,,,STOP
904.535,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,head-down,,,STOP
908.791,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,frontal,,,START
910.284,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,lateral display,,,START
910.617,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,head-down,,,START
912.788,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,frontal,,,STOP
913.792,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,lateral display,,,START
916.398,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,lateral display,,,STOP
917.617,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,head-down,,,STOP
919.702,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,lateral display,,,STOP
920.702,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,head-down,,,START
922.203,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,head-down,,,STOP
934.868,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,head-down,,,START
935.455,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,frontal,,,START
935.617,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,head-down,,,STOP
936.868,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,frontal,,,STOP
937.875,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,lateral display,,,START
939.620,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,lateral display,,,STOP
945.120,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,frontal,,,START
945.202,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,head-down,,,START
947.702,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,head-down,,,STOP
947.952,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,lateral display,,,START
948.372,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,frontal,,,STOP
950.371,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,lateral display,,,START
958.872,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,lateral display,,,STOP
959.701,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,lateral display,,,STOP
1009.369,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,frontal,,,START
1012.118,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,frontal,,,STOP
1013.118,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,frontal,,,START
